cusip,options,issuer,description,status
C15396 AA 9,,CANADIAN SOLAR INC,DEBT  4.250% 2/1,
D17698 10 7,,DEUTSCHE BK AG,RIGHT 06/24/2014,DELETED
D18190 89 8,*,DEUTSCHE BANK AG,NAMEN AKT,
D18190 90 8,,DEUTSCHE BANK AG,CALL,
D18190 95 8,,DEUTSCHE BANK AG,PUT,
G00349 10 3,*,ABENGOA YIELD PLC,ORD SHS,
G00349 90 3,,ABENGOA YIELD PLC,CALL,
G00349 95 3,,ABENGOA YIELD PLC,PUT,
G0083B 10 8,*,ACTAVIS PLC,SHS,
G0083B 90 8,,ACTAVIS PLC,CALL,
G0083B 95 8,,ACTAVIS PLC,PUT,
G0129K 10 4,*,AIRCASTLE LTD,COM,
G0129K 90 4,,AIRCASTLE LTD,CALL,
G0129K 95 4,,AIRCASTLE LTD,PUT,
G0176J 10 9,*,ALLEGION PUB LTD CO,ORD SHS,
G0176J 90 9,,ALLEGION PUB LTD CO,CALL,
G0176J 95 9,,ALLEGION PUB LTD CO,PUT,
G01767 10 5,*,ALKERMES PLC,SHS,
G01767 90 5,,ALKERMES PLC,CALL,
G01767 95 5,,ALKERMES PLC,PUT,
G02602 10 3,*,AMDOCS LTD,SHS,
G02602 90 3,,AMDOCS LTD,CALL,
G02602 95 3,,AMDOCS LTD,PUT,
G0335L 10 2,*,AMIRA NATURE FOODS LTD,SHS,
G0335L 90 2,,AMIRA NATURE FOODS LTD,CALL,
G0335L 95 2,,AMIRA NATURE FOODS LTD,PUT,
G037AX 10 1,*,AMBARELLA INC,SHS,
G037AX 90 1,,AMBARELLA INC,CALL,
G037AX 95 1,,AMBARELLA INC,PUT,
G0404E 10 4,,AOXIN TIANLI GROUP INC,USD COMMON SHS,ADDED
G0408V 10 2,*,AON PLC,SHS CL A,
G0408V 90 2,,AON PLC,CALL,
G0408V 95 2,,AON PLC,PUT,
G0450A 10 5,*,ARCH CAP GROUP LTD,ORD,
G0450A 90 5,,ARCH CAP GROUP LTD,CALL,
G0450A 95 5,,ARCH CAP GROUP LTD,PUT,
G0457F 10 7,*,ARCOS DORADOS HOLDINGS INC,SHS CLASS -A -,
G0457F 90 7,,ARCOS DORADOS HOLDINGS INC,CALL,
G0457F 95 7,,ARCOS DORADOS HOLDINGS INC,PUT,
G0464B 10 7,*,ARGO GROUP INTL HLDGS LTD,COM,
G0464B 90 7,,ARGO GROUP INTL HLDGS LTD,CALL,
G0464B 95 7,,ARGO GROUP INTL HLDGS LTD,PUT,
G0471F 10 9,*,APCO OIL & GAS INTERNATIONAL,SHS,
G0471F 90 9,,APCO OIL & GAS INTERNATIONAL,CALL,
G0471F 95 9,,APCO OIL & GAS INTERNATIONAL,PUT,
G0535E 10 6,,ASIA PACIFIC WIRE & CABLE CO,ORD,
G05384 10 5,*,ASPEN INSURANCE HOLDINGS LTD,SHS,
G05384 90 5,,ASPEN INSURANCE HOLDINGS LTD,CALL,
G05384 95 5,,ASPEN INSURANCE HOLDINGS LTD,PUT,
G0585R 10 6,*,ASSURED GUARANTY LTD,COM,
G0585R 90 6,,ASSURED GUARANTY LTD,CALL,
G0585R 95 6,,ASSURED GUARANTY LTD,PUT,
G06207 11 5,,ATLAS FINANCIAL HOLDINGS INC,SHS NEW,
G0692U 10 9,*,AXIS CAPITAL HOLDINGS LTD,SHS,
G0692U 90 9,,AXIS CAPITAL HOLDINGS LTD,CALL,
G0692U 95 9,,AXIS CAPITAL HOLDINGS LTD,PUT,
G07021 10 1,*,CHC GROUP LTD,SHS,
G07021 90 1,,CHC GROUP LTD,CALL,
G07021 95 1,,CHC GROUP LTD,PUT,
G10082 14 0,*,ENERGY XXI BERMUDA LTD,USD UNRS SHS,
G10082 90 0,,ENERGY XXI BERMUDA LTD,CALL,
G10082 95 0,,ENERGY XXI BERMUDA LTD,PUT,
G1151C 10 1,*,ACCENTURE PLC IRELAND,SHS CLASS A,
G1151C 90 1,,ACCENTURE PLC IRELAND,CALL,
G1151C 95 1,,ACCENTURE PLC IRELAND,PUT,
G1154H 10 7,*,BELMOND LTD,CL A,ADDED
G1154H 90 7,,BELMOND LTD,CALL,ADDED
G1154H 95 7,,BELMOND LTD,PUT,ADDED
G1190F 10 7,,BLUE CAP REINS HLDGS LTD,COM,
G16249 10 7,*,BROOKFIELD PPTY PARTNERS L P,UNIT LTD PARTN,
G16249 90 7,,BROOKFIELD PPTY PARTNERS L P,CALL,
G16249 95 7,,BROOKFIELD PPTY PARTNERS L P,PUT,
G16252 10 1,*,BROOKFIELD INFRAST PARTNERS,LP INT UNIT,
G16252 90 1,,BROOKFIELD INFRAST PARTNERS,CALL,
G16252 95 1,,BROOKFIELD INFRAST PARTNERS,PUT,
G16258 10 8,*,BROOKFIELD RENEWABLE ENRGY P,PARTNERSHIP UNIT,
G16258 90 8,,BROOKFIELD RENEWABLE ENRGY P,CALL,
G16258 95 8,,BROOKFIELD RENEWABLE ENRGY P,PUT,
G16962 10 5,*,BUNGE LIMITED,COM,
G16962 90 5,,BUNGE LIMITED,CALL,
G16962 95 5,,BUNGE LIMITED,PUT,
G20045 20 2,*,CENTRAL EUROPEAN MEDIA ENTRP,CL A NEW,
G20045 90 2,,CENTRAL EUROPEAN MEDIA ENTRP,CALL,
G20045 95 2,,CENTRAL EUROPEAN MEDIA ENTRP,PUT,
G21082 10 5,*,CHINA YUCHAI INTL LTD,COM,
G21082 90 5,,CHINA YUCHAI INTL LTD,CALL,
G21082 95 5,,CHINA YUCHAI INTL LTD,PUT,
G2110R 11 4,*,CHIPMOS TECH BERMUDA LTD,SHS,
G2110R 90 4,,CHIPMOS TECH BERMUDA LTD,CALL,
G2110R 95 4,,CHIPMOS TECH BERMUDA LTD,PUT,
G2110U 10 9,,CHINA NATURAL RESOURCES INC,COM,
G21101 10 3,*,CHINA GERUI ADV MAT GR LTD,SHS,
G21101 90 3,,CHINA GERUI ADV MAT GR LTD,CALL,
G21101 95 3,,CHINA GERUI ADV MAT GR LTD,PUT,
G21107 10 0,,CHINA CORD BLOOD CORP,SHS,
G2113X 10 0,,CHINA CERAMICS CO LTD,SHS,
G21174 10 0,*,CHINA INFORMATION TECHNOLOGY,COM,
G21174 90 0,,CHINA INFORMATION TECHNOLOGY,CALL,
G21174 95 0,,CHINA INFORMATION TECHNOLOGY,PUT,
G21490 11 8,,CIS ACQUISITION LTD,*W EXP 12/18/201,
G21490 20 9,,CIS ACQUISITION LTD,SHS SER A,
